Table 1
Tomb of Dracula 51 cover,Colan/Palmer,11.5 x 17.5,ink on bond
Daredevil 191 page 3,Miller/Austin,10 5/8 x 15 7/8,ink on bond
Tower of Shadows 5 cover,Marie Severin/Everett,17 3/8 x 11.5,Ink on bond
Werewolf by Night 11 cover,Kane/Romita,11 x 16.5,Ink on bond
Man Thing 9 cover,Mike Ploog,17.5 x 11.5,Ink on bond
Horror Movies we'd like to see (Mad),Jack Davis,14.5 x 9.5,ink on illustration board
Red Sonja 13 cover,Frank Brunner,11 1/8 x 17,ink on bond
Savage Sword of Conan 23 page (Tower of the Elephant),Buscema/Alcala,11 x 17,ink on bond
Judge Dredd 34 cover,Brian Bolland,11.5 x 17,Ink on bond
Detective Comics 423,Mike Kalutta,11.5 x 16 7/8,Ink on bond
Amazing Spider-Man 101 Cover,Kane/Romita,11.5 x 17,ink on bond
Werewolf by Night 15 cover,Ploog,17.5 x 13 1/8,ink on bond
Watchmen page 20,Dave Gibbons,16 x 10 3/4,ink on bond
Haunt of Fear 6 page 1,Wally Wood,22 x 15,ink on bond
Spirit Halloween #2 pg 58,Will Eisner,22.5 x 16.5,ink on bond
Vault of Horror 25 splash page from Collection Completed,Ghastly Graham Ingels,15 x 22,ink on bond
Jimmy Corrigan Page,Chris Ware,15 x 24,ink on illustration board
David Boring page 10,Daniel Clowes,20.5 x 14.25,Ink on bond
Unpublished Frankenstein page,Dick Briefer,14.25 x 20.5,Ink on bond
Rip Kirby Strip 5.13.46,Alex Raymond,21 x 8,Ink on bond
Creepy 1- Werewolf story pg 29,Frank Frazetta,22.5 x 14.25,Ink on bond
Tales From the Crypt 42 Cover,Jack Davis,15 x 22,Ink on bond
Frankenstein Plate,Bernie Wrightson,20 x 15,ink on illustration board
Fantastic Four 13 page 6,Kirby/Ditko,15 x 20.5,ink on bond
Batman 13 pg 8,Robinson/Kane/Russo,15 x 22,ink on bond
